route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2021_09_13-DX-MVS-Weekday-08,964426,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964236,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964438,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964237,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964439,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964238,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964437,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964239,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964440,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964240,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964424,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964241,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964425,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964242,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964428,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964243,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964441,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964244,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964447,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964245,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964448,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964246,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964442,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964247,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964444,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964248,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964445,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964249,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964431,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964250,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964419,Berryessa/North San Jose,0,,966746_shp,,0,0
5,2021_09_13-DX-MVS-Weekday-08,964251,Daly City,1,,964252_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964420,Berryessa/North San Jose,0,,966746_shp,,0,0
6,2021_09_13-DX-MVS-Weekday-08,964421,Berryessa/North San Jose,0,,966746_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964511,Richmond,0,,964511_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964593,Berryessa/North San Jose,1,,964593_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964518,Richmond,0,,964518_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964521,Berryessa/North San Jose,1,,964395_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964510,Richmond,0,,964510_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964580,Berryessa/North San Jose,1,,964593_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964514,Richmond,0,,964518_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964520,Berryessa/North San Jose,1,,964395_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964513,Richmond,0,,964518_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964581,Berryessa/North San Jose,1,,964593_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964479,Richmond,0,,964518_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964590,Berryessa/North San Jose,1,,964395_shp,,0,0
3,2021_09_13-DX-MVS-Weekday-08,964517,Richmond,0,,964518_shp,,0,0
4,2021_09_13-DX-MVS-Weekday-08,964582,Berryessa/North San Jose,1,,964593_shp,,0,0
